Property ID,Map Location,Latitude,Longitude
P944,"https://www.google.com/maps/place/ELV+Akruti+ARK/@12.8036039,77.8197248,10.33z/data=!4m6!3m5!1s0x3bae724a1f38f331:0xad53052d3a2fe385!8m2!3d12.8194103!4d77.7855572!16s%2Fg%2F11vbqj4qnl?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.8036039,77.8197248
P943,"https://www.google.com/maps/place/L%26T+Raintree+Boulevard/@13.2712735,77.6391389,11.9z/data=!4m6!3m5!1s0x3bae17cc9ce269ef:0x1f67c8d4971c1006!8m2!3d13.0696673!4d77.5923666!16s%2Fg%2F11h4mtrxcw?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",13.2712735,77.6391389
P942,"https://www.google.com/maps/place/Assetz+Promise+of+Spring,+Hobli,+Devanahalli,+Bengaluru,+Karnataka/@13.2712735,77.6391389,11.9z/data=!4m5!3m4!1s0x3bb1e3003a9fcaf5:0x1be9ad1be464d069!8m2!3d13.2889771!4d77.7238473?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",13.2712735,77.6391389
P941,"https://www.google.com/maps/place/Assetz+Promise+of+Spring,+Hobli,+Devanahalli,+Bengaluru,+Karnataka/@13.2712735,77.6391389,11.9z/data=!4m5!3m4!1s0x3bb1e3003a9fcaf5:0x1be9ad1be464d069!8m2!3d13.2889771!4d77.7238473?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",13.2712735,77.6391389
P940,"https://www.google.com/maps/place/Assetz+Promise+of+Spring,+Hobli,+Devanahalli,+Bengaluru,+Karnataka/@13.2712735,77.6391389,11.9z/data=!4m5!3m4!1s0x3bb1e3003a9fcaf5:0x1be9ad1be464d069!8m2!3d13.2889771!4d77.7238473?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",13.2712735,77.6391389
P939,"https://www.google.com/maps/place/Godrej+Ananda,+Bangalore/@13.2035355,77.463121,10.25z/data=!4m6!3m5!1s0x3bae1b413aeea35b:0x20035784b271ee37!8m2!3d13.1475287!4d77.6776159!16s%2Fg%2F11r5rsq10l?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",13.2035355,77.463121
P938,"https://www.google.com/maps/place/Prestige+Finsbury+Park/@13.1423581,77.6841709,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1be8f0000001:0x1b7881e677b5fba1!8m2!3d13.1423581!4d77.6841709!16s%2Fg%2F11fk_6h67q?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",13.1423581,77.6841709
P937,"https://www.google.com/maps/place/Avalon+Park+@+The+Prestige+City/@12.8855283,77.5816668,12z/data=!4m6!3m5!1s0x3bae72e87974ebcf:0x2a532470d3ca1ff0!8m2!3d12.8783033!4d77.7719523!16s%2Fg%2F11pdsdkv6f?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.8855283,77.5816668
P936,"https://www.google.com/maps/place/DLF+Westend+Heights+Apartments/@12.8742439,77.6178406,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae6b3245555555:0xe1f51ea2610bd3b8!8m2!3d12.8742439!4d77.6204155!16s%2Fg%2F11c67qzdd8?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.8742439,77.6178406
P935,"https://www.google.com/maps/place/KBL+ELITE+LAYOUT/@12.874656,77.5707193,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae6b6876005145:0x663bf40450c99ded!8m2!3d12.874656!4d77.5753327!16s%2Fg%2F11f7mc50h4?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.874656,77.5707193
P934,"https://www.google.com/maps/place/Frontier+Heights,+Kasavanahalli+Main+Road,+Haralur,+Karnataka/@13.0526582,77.7905271,10.81z/data=!4m5!3m4!1s0x3bae131e810311e5:0xcbef1da0f50d5982!8m2!3d12.8933668!4d77.6736228?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",13.0526582,77.7905271
P933,"https://www.google.com/maps/place/Radiance+Blossom/@13.0768093,77.7339685,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1ab1d370f01b:0xf55dd2884eb46175!8m2!3d13.0768093!4d77.7365434!16s%2Fg%2F11f4m9j9kq?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",13.0768093,77.7339685
P932,"https://www.google.com/maps/place/Vasundhara+Layout,+Glass+Factory+Layout,+Electronic+City,+Bengaluru,+Karnataka+560100/@12.8301224,77.6920771,16z/data=!3m1!4b1!4m6!3m5!1s0x3bae6c5370100b45:0x4dde157efadbd06a!8m2!3d12.8298381!4d77.6976307!16s%2Fg%2F1tfz8mtm?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.8301224,77.6920771
P931,"https://www.google.com/maps/place/Incor+Carmel+Heights/@12.9524674,77.7890889,11.85z/data=!4m6!3m5!1s0x3bae0d3c96f3be75:0xed7fcb9b69076fb2!8m2!3d12.9604192!4d77.7478952!16s%2Fg%2F11g2xnnb7j?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.9524674,77.7890889
P930,"https://www.google.com/maps/place/Sumadhura+Soham,+ECC+Road,+Beside+GR+Tech+Park,+Pattandur+Agrahara,+Whitefield,+Bengaluru,+Karnataka/@12.9727246,77.7603326,17z/data=!4m5!3m4!1s0x3bae11eb77825561:0xe416eb3ffad7df9c!8m2!3d12.9796137!4d77.742682?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.9727246,77.7603326
P929,"https://www.google.com/maps/place/SOBHA+Windsor/@12.9727246,77.7603326,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0da8088ccce5:0x8f67987bb9084cd0!8m2!3d12.9727246!4d77.7629075!16s%2Fg%2F11h0_pfcly?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.9727246,77.7603326
P928,"https://www.google.com/maps/place/Adarsh+Palm+Meadows/@12.9595029,77.7382077,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae120b95555555:0xc07172240a151a64!8m2!3d12.9595029!4d77.7407826!16s%2Fg%2F11j3xn8702?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.9595029,77.7382077
P927,"https://www.google.com/maps/place/Adarsh+Serenity/@13.0069154,77.738081,11.44z/data=!4m6!3m5!1s0x3bae0fc8976da7fd:0x766bb657ca9b222!8m2!3d13.0306082!4d77.7629887!16s%2Fg%2F1tfqd7hm?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",13.0069154,77.738081
P926,"https://www.google.com/maps/place/The+Grand+Strand+Address/@12.9884433,77.7256403,14.17z/data=!4m6!3m5!1s0x3bae118c90f24639:0x7ddbddec6f825142!8m2!3d12.9891447!4d77.7256634!16s%2Fg%2F11v3xkd9dp?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.9884433,77.7256403
P925,"https://www.google.com/maps/place/SOBHA+Windsor/@12.9727246,77.7603326,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0da8088ccce5:0x8f67987bb9084cd0!8m2!3d12.9727246!4d77.7629075!16s%2Fg%2F11h0_pfcly?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.9727246,77.7603326
P924,"https://www.google.com/maps/place/Great+Acres+@+The+Prestige+City/@12.8758645,77.7780311,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae7311c13c1ddd:0xdf3a69af8b753745!8m2!3d12.8758645!4d77.780606!16s%2Fg%2F11n_kr9djq?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.8758645,77.7780311
P923,"https://www.google.com/maps/place/Nambiar+Ellegenza/@12.8655918,77.7146741,13.02z/data=!4m6!3m5!1s0x3bae6d71e2730365:0x34c3f0269c053f82!8m2!3d12.8419055!4d77.7303906!16s%2Fg%2F11clyt2q9j?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D",12.8655918,77.7146741
